# omega0=1.00, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.00, t_end=250.00, h=0.01
#   t          x(t)                 v(t)       
1.210094948049391e+01 -1.146370489519386e+01 -6.945846658936066e-01
1.221730476396020e+01 -1.154367822169956e+01 -6.796647395497813e-01
1.233366004742649e+01 -1.162177765312596e+01 -6.623650301426870e-01
1.245001533089277e+01 -1.169772453677706e+01 -6.426697019551317e-01
1.256637061435906e+01 -1.177124339776776e+01 -6.206493977087639e-01
1.268272589782535e+01 -1.184207200211275e+01 -5.964607020257607e-01
1.279908118129164e+01 -1.190997116328352e+01 -5.703422635136999e-01
1.291543646475792e+01 -1.197473390682683e+01 -5.426076769345871e-01
1.303179174822421e+01 -1.203619363401129e+01 -5.136354714894515e-01
1.314814703169050e+01 -1.209423097775684e+01 -4.838567480777956e-01
1.326450231515678e+01 -1.214877911553797e+01 -4.537411384486358e-01
1.338085759862307e+01 -1.219982738621430e+01 -4.237818149423832e-01
1.349721288208936e+01 -1.224742314231728e+01 -3.944802650236786e-01
1.361356816555565e+01 -1.229167184872651e+01 -3.663314731926359e-01
1.372992344902193e+01 -1.233273550730579e+01 -3.398100427344246e-01
1.384627873248822e+01 -1.237082954162424e+01 -3.153576610747365e-01
1.396263401595451e+01 -1.240621831527151e+01 -2.933721830889692e-01
1.407898929942080e+01 -1.243920948223670e+01 -2.741984900292524e-01
1.419534458288708e+01 -1.247014738036851e+01 -2.581211859746947e-01
1.431169986635337e+01 -1.249940568173249e+01 -2.453591220594291e-01
1.442805514981966e+01 -1.252737950952289e+01 -2.360616904083745e-01
1.454441043328594e+01 -1.255447722260707e+01 -2.303068013359049e-01
1.466076571675223e+01 -1.258111205783696e+01 -2.281004442922600e-01
1.477712100021852e+01 -1.260769380845115e+01 -2.293777303973760e-01
1.489347628368481e+01 -1.263462070515850e+01 -2.340053177136627e-01
1.500983156715109e+01 -1.266227165530693e+01 -2.417851258926404e-01
1.512618685061738e+01 -1.269099898496445e+01 -2.524592513812670e-01
1.524254213408367e+01 -1.272112181851217e+01 -2.657159954340478e-01
1.535889741754996e+01 -1.275292021993619e+01 -2.811969126031417e-01
1.547525270101624e+01 -1.278663020864530e+01 -2.985047754229319e-01
1.559160798448253e+01 -1.282243974939951e+01 -3.172123304651216e-01
1.570796326794882e+01 -1.286048579978055e+01 -3.368716914665659e-01
1.582431855141511e+01 -1.290085247856883e+01 -3.570241777279905e-01
1.594067383488139e+01 -1.294357039360768e+01 -3.772103629666151e-01
1.605702911834769e+01 -1.298861713782642e+01 -3.969800555948501e-01
1.617338440181399e+01 -1.303591892725383e+01 -4.159018919579056e-01
1.628973968528030e+01 -1.308535331604171e+01 -4.335721964555340e-01
1.640609496874660e+01 -1.313675288253362e+01 -4.496227538785229e-01
1.652245025221291e+01 -1.318990973983802e+01 -4.637271557441361e-01
1.663880553567921e+01 -1.324458068734861e+01 -4.756054274741389e-01
