N                   Sum Up                   Sum Down                 Difference Divided by Average
7300001.0000000000000000               15.4036827087402344               16.3736038208007812               0.0610449314117432
7400001.0000000000000000               15.4036827087402344               16.3862457275390625               0.0618159957230091
7500001.0000000000000000               15.4036827087402344               16.4012031555175781               0.0627274960279465
7600001.0000000000000000               15.4036827087402344               16.4175376892089844               0.0637219399213791
7700001.0000000000000000               15.4036827087402344               16.4340953826904297               0.0647289305925369
7800001.0000000000000000               15.4036827087402344               16.4503364562988281               0.0657156482338905
7900001.0000000000000000               15.4036827087402344               16.4642219543457031               0.0665584579110146
8000001.0000000000000000               15.4036827087402344               16.4742279052734375               0.0671653300523758
8100001.0000000000000000               15.4036827087402344               16.4834613800048828               0.0677250176668167
8200001.0000000000000000               15.4036827087402344               16.4926033020019531               0.0682788342237473
