# Spherical Bessel functions via up and down recursion
log(x)   ans_down   ans_up   gsl_bes   log(rel_dif)   rel_dif_gsl
1.722766597741 1.093583670176e-03 1.093583670177e-03 1.093583670176e-03 -2.814813180689e+01 9.914213260986e-17 
1.740466174841 1.271715590294e-03 1.271715590293e-03 1.271715590294e-03 -2.892748097469e+01 0.000000000000e+00 
1.757857917552 1.473545271542e-03 1.473545271540e-03 1.473545271542e-03 -2.779314174986e+01 2.943111944842e-16 
1.774952350912 1.701439521584e-03 1.701439521583e-03 1.701439521584e-03 -2.891475053546e+01 1.274452789807e-16 
1.791759469228 1.957901199507e-03 1.957901199506e-03 1.957901199507e-03 -2.926220452635e+01 2.215029385055e-16 
1.808288771179 2.245565454314e-03 2.245565454314e-03 2.245565454314e-03 -3.265681957278e+01 2.896915350392e-16 
1.824549292051 2.567194364665e-03 2.567194364665e-03 2.567194364665e-03 -2.975318082432e+01 1.266988803896e-15 
1.840549633397 2.925669878837e-03 2.925669878837e-03 2.925669878837e-03 -3.100532849752e+01 5.781087611121e-15 
1.856297990366 3.323984963150e-03 3.323984963150e-03 3.323984963150e-03 -3.050004105735e+01 2.609403314407e-16 
1.871802176902 3.765232878114e-03 3.765232878114e-03 3.765232878114e-03 -3.183249799747e+01 4.031312512707e-16 
1.887069649032 4.252594514290e-03 4.252594514289e-03 4.252594514290e-03 -3.212127164001e+01 4.079212043725e-16 
1.902107526397 4.789323734271e-03 4.789323734271e-03 4.789323734271e-03 -3.266394583479e+01 0.000000000000e+00 
1.916922612182 5.378730683229e-03 5.378730683229e-03 5.378730683229e-03 -3.362268794454e+01 8.062884991555e-17 
1.931521411603 6.024163048075e-03 6.024163048075e-03 6.024163048075e-03 -3.477210601892e+01 7.199022761059e-17 
1.945910149055 6.728985264346e-03 6.728985264346e-03 6.728985264346e-03 -3.209886353921e+01 1.933490052172e-16 
1.960094784047 7.496555690336e-03 7.496555690336e-03 7.496555690336e-03 -3.249082660899e+01 3.471040997294e-16 
1.974081026022 8.330201789584e-03 8.330201789584e-03 8.330201789584e-03 -3.145385570422e+01 1.041225362719e-16 
1.987874348154 9.233193385498e-03 9.233193385498e-03 9.233193385498e-03 -3.269918790283e+01 1.878790363799e-16 
2.001480000210 1.020871407538e-02 1.020871407538e-02 1.020871407538e-02 -3.235035688114e+01 2.548886367814e-16 
2.014903020542 1.125983091529e-02 1.125983091529e-02 1.125983091529e-02 -3.396682294488e+01 7.703150646876e-17 
2.028148247292 1.238946251180e-02 1.238946251180e-02 1.238946251180e-02 -3.317257017777e+01 4.900561392501e-16 
2.041220328860 1.360034568149e-02 1.360034568149e-02 1.360034568149e-02 -3.226729024394e+01 1.913249320940e-16 
2.054123733696 1.489500086374e-02 1.489500086374e-02 1.489500086374e-02 -3.309164175762e+01 0.000000000000e+00 
2.066862759473 1.627569649707e-02 1.627569649707e-02 1.627569649707e-02 -3.222372446515e+01 2.131673414147e-16 
2.079441541680 1.774441259272e-02 1.774441259272e-02 1.774441259272e-02 -3.381947661919e+01 3.910466952709e-16 
2.091864061678 1.930280376270e-02 1.930280376270e-02 1.930280376270e-02 -3.278929564873e+01 8.986898987852e-17 
2.104134154270 2.095216198101e-02 2.095216198101e-02 2.095216198101e-02 -3.359618300780e+01 8.279448572177e-17 
2.116255514803 2.269337937751e-02 2.269337937751e-02 2.269337937751e-02 -3.411426932507e+01 5.350928184752e-16 
2.128231705849 2.452691138233e-02 2.452691138233e-02 2.452691138233e-02 -3.392960277453e+01 0.000000000000e+00 
2.140066163496 2.645274055589e-02 2.645274055589e-02 2.645274055589e-02 -3.345662564992e+01 5.246257104624e-16 
2.151762203259 2.847034145368e-02 2.847034145368e-02 2.847034145368e-02 -3.595049690761e+01 1.218617963398e-16 
2.163323025661 3.057864688724e-02 3.057864688724e-02 3.057864688724e-02 -3.561647085606e+01 5.672989659660e-17 
2.174751721484 3.277601595187e-02 3.277601595187e-02 3.277601595187e-02 -3.421952886297e+01 5.292661190195e-16 
2.186051276738 3.506020419776e-02 3.506020419776e-02 3.506020419776e-02 -3.376080544385e+01 9.895683814001e-17 
2.197224577336 3.742833632431e-02 3.742833632431e-02 3.742833632431e-02 -3.553091490565e+01 3.707829193253e-16 
2.208274413523 3.987688177689e-02 3.987688177689e-02 3.987688177689e-02 -3.559428358426e+01 0.000000000000e+00 
2.219203484055 4.240163362156e-02 4.240163362156e-02 4.240163362156e-02 -3.426937936156e+01 6.545874119698e-16 
2.230014400159 4.499769106523e-02 4.499769106523e-02 4.499769106523e-02 -3.640824519173e+01 3.084111090877e-16 
2.240709689276 4.765944597760e-02 4.765944597760e-02 4.765944597760e-02 -3.521295189157e+01 7.279662784129e-17 
2.251291798606 5.038057375584e-02 5.038057375584e-02 5.038057375584e-02 -3.374865095012e+01 3.098914942782e-15 
2.261763098474 5.315402885351e-02 5.315402885351e-02 5.315402885351e-02 -3.657482791642e+01 1.435974555256e-15 
2.272125885509 5.597204527253e-02 5.597204527253e-02 5.597204527253e-02 -3.524019202635e+01 1.859560572636e-16 
2.282382385677 5.882614228962e-02 5.882614228962e-02 5.882614228962e-02 -3.598307318524e+01 4.128458491143e-16 
2.292534757141 6.170713565825e-02 6.170713565825e-02 6.170713565825e-02 -3.741718076858e+01 6.746928532548e-16 
2.302585092994 6.460515449256e-02 6.460515449256e-02 6.460515449256e-02 -3.676992821145e+01 1.074046484125e-16 
2.312535423847 6.750966400209e-02 6.750966400209e-02 6.750966400209e-02 -3.681390477097e+01 3.083511378620e-16 
2.322387720290 7.040949420471e-02 7.040949420471e-02 7.040949420471e-02          -inf 9.855054325107e-17 
2.332143895236 7.329287470154e-02 7.329287470154e-02 7.329287470154e-02 -3.510433794053e+01 2.840205381013e-16 
2.341805806147 7.614747555021e-02 7.614747555021e-02 7.614747555021e-02 -3.532486802828e+01 9.112441159434e-17 
2.351375257163 7.896045422394e-02 7.896045422394e-02 7.896045422394e-02 -3.697058116063e+01 8.787809001487e-17 
2.360854001118 8.171850859239e-02 8.171850859239e-02 8.171850859239e-02 -3.631176735194e+01 1.698242913002e-16 
2.370243741468 8.440793580712e-02 8.440793580712e-02 8.440793580712e-02 -3.703729543627e+01 3.288266126902e-16 
2.379546134130 8.701469692048e-02 8.701469692048e-02 8.701469692048e-02          -inf 2.392317901279e-16 
2.388762789235 8.952448701133e-02 8.952448701133e-02 8.952448701133e-02 -3.709614619869e+01 0.000000000000e+00 
2.397895272798 9.192281053576e-02 9.192281053576e-02 9.192281053576e-02 -3.573628886078e+01 1.509721877185e-16 
2.406945108318 9.419506156565e-02 9.419506156565e-02 9.419506156565e-02          -inf 7.366515599197e-17 
2.415913778301 9.632660852330e-02 9.632660852330e-02 9.632660852330e-02 -3.716937860223e+01 7.203506912868e-17 
2.424802725718 9.830288296681e-02 9.830288296681e-02 9.830288296681e-02          -inf 7.058688102006e-17 
2.433613355400 1.001094719294e-01 1.001094719294e-01 1.001094719294e-01 -3.651475113889e+01 3.465653034710e-16 
2.442347035369 1.017322132662e-01 1.017322132662e-01 1.017322132662e-01 -3.653083083322e+01 2.046223221081e-16 
2.451005098112 1.031572934149e-01 1.031572934149e-01 1.031572934149e-01 -3.613927666817e+01 1.345303598844e-16 
2.459588841804 1.043713469351e-01 1.043713469351e-01 1.043713469351e-01 -3.655644201551e+01 3.324137374706e-16 
2.468099531472 1.053615571474e-01 1.053615571474e-01 1.053615571474e-01 -3.725903184956e+01 0.000000000000e+00 
2.476538400117 1.061157571640e-01 1.061157571640e-01 1.061157571640e-01 -3.657301737935e+01 1.307797086758e-16 
2.484906649788 1.066225305655e-01 1.066225305655e-01 1.066225305655e-01 -3.727092885848e+01 6.507905849828e-17 
2.493205452603 1.068713109583e-01 1.068713109583e-01 1.068713109583e-01 -3.658011224169e+01 6.492756420489e-17 
2.501435951739 1.068524796238e-01 1.068524796238e-01 1.068524796238e-01 -3.519364165934e+01 4.545730477980e-16 
2.509599262378 1.065574604581e-01 1.065574604581e-01 1.065574604581e-01 -3.657717120685e+01 6.511879951040e-17 
