# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=10, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
1.7300  5.155807076803105e-03  -4.137260727324898e-03  8.558463162932471e-06  5.247144902500991e-04
1.7400  5.114600022982819e-03  -4.104194260151121e-03  8.422205262528705e-06  5.163605961698433e-04
1.7500  5.073722310671875e-03  -4.071392072007219e-03  8.288116702001618e-06  5.081397030788888e-04
1.7600  5.033171307655160e-03  -4.038852050680681e-03  8.156162943643771e-06  5.000496934901116e-04
1.7700  4.992944402755169e-03  -4.006572100840555e-03  8.026309999616947e-06  4.920884836285549e-04
1.7800  4.953039005663857e-03  -3.974550143902522e-03  7.898524423197781e-06  4.842540228947047e-04
1.7900  4.913452546775849e-03  -3.942784117895054e-03  7.772773300162741e-06  4.765442933363081e-04
1.8000  4.874182477022975e-03  -3.911271977326635e-03  7.649024240310304e-06  4.689573091286020e-04
1.8100  4.835226267710132e-03  -3.880011693054050e-03  7.527245369118078e-06  4.614911160628170e-04
1.8200  4.796581410352448e-03  -3.849001252151720e-03  7.407405319532754e-06  4.541437910428230e-04
1.8300  4.758245416513762e-03  -3.818238657782089e-03  7.289473223890786e-06  4.469134415897914e-04
1.8400  4.720215817646383e-03  -3.787721929067042e-03  7.173418705967675e-06  4.397982053547403e-04
1.8500  4.682490164932137e-03  -3.757449100960345e-03  7.059211873153855e-06  4.327962496388440e-04
1.8600  4.645066029124681e-03  -3.727418224121124e-03  6.946823308755137e-06  4.259057709213767e-04
1.8700  4.607941000393076e-03  -3.697627364788328e-03  6.836224064415738e-06  4.191249943951728e-04
1.8800  4.571112688166616e-03  -3.668074604656218e-03  6.727385652661936e-06  4.124521735094826e-04
1.8900  4.534578720980887e-03  -3.638758040750841e-03  6.620280039564450e-06  4.058855895201072e-04
1.9000  4.498336746325069e-03  -3.609675785307491e-03  6.514879637517626e-06  3.994235510466945e-04
1.9100  4.462384430490450e-03  -3.580825965649154e-03  6.411157298133597e-06  3.930643936370843e-04
1.9200  4.426719458420152e-03  -3.552206724065918e-03  6.309086305249561e-06  3.868064793385880e-04
1.9300  4.391339533560060e-03  -3.523816217695356e-03  6.208640368046402e-06  3.806481962760961e-04
1.9400  4.356242377710939e-03  -3.495652618403854e-03  6.109793614276861e-06  3.745879582369001e-04
1.9500  4.321425730881739e-03  -3.467714112668898e-03  6.012520583601521e-06  3.686242042621264e-04
1.9600  4.286887351144066e-03  -3.439998901462293e-03  5.916796221030890e-06  3.627553982446738e-04
1.9700  4.252625014487817e-03  -3.412505200134319e-03  5.822595870471882e-06  3.569800285335520e-04
1.9800  4.218636514677976e-03  -3.385231238298815e-03  5.729895268377065e-06  3.512966075445211e-04
1.9900  4.184919663112548e-03  -3.358175259719185e-03  5.638670537495008e-06  3.457036713769277e-04
2.0000  4.151472288681622e-03  -3.331335522195298e-03  5.548898180720109e-06  3.401997794366424e-04
2.0100  4.118292237627579e-03  -3.304710297451309e-03  5.460555075040358e-06  3.347835140650011e-04
2.0200  4.085377373406395e-03  -3.278297871024374e-03  5.373618465581473e-06  3.294534801736520e-04
2.0300  4.052725576550079e-03  -3.252096542154250e-03  5.288065959745815e-06  3.242083048852193e-04
2.0400  4.020334744530177e-03  -3.226104623673777e-03  5.203875521444660e-06  3.190466371796837e-04
2.0500  3.988202791622398e-03  -3.200320441900236e-03  5.121025465422260e-06  3.139671475463963e-04
2.0600  3.956327648772308e-03  -3.174742336527580e-03  5.039494451670300e-06  3.089685276416312e-04
2.0700  3.924707263462094e-03  -3.149368660519526e-03  4.959261479931278e-06  3.040494899515905e-04
2.0800  3.893339599578396e-03  -3.124197780003489e-03  4.880305884289365e-06  2.992087674607732e-04
2.0900  3.862222637281205e-03  -3.099228074165379e-03  4.802607327847422e-06  2.944451133256266e-04
2.1000  3.831354372873790e-03  -3.074457935145231e-03  4.726145797488739e-06  2.897573005533914e-04
2.1100  3.800732818673688e-03  -3.049885767933675e-03  4.650901598722189e-06  2.851441216860607e-04
2.1200  3.770356002884698e-03  -3.025509990269221e-03  4.576855350609430e-06  2.806043884893701e-04
2.1300  3.740221969469925e-03  -3.001329032536383e-03  4.503987980772890e-06  2.761369316467395e-04
2.1400  3.710328778025817e-03  -2.977341337664604e-03  4.432280720483227e-06  2.717406004580883e-04
2.1500  3.680674503657221e-03  -2.953545361027988e-03  4.361715099824974e-06  2.674142625434443e-04
2.1600  3.651257236853436e-03  -2.929939570345842e-03  4.292272942939190e-06  2.631568035512734e-04
2.1700  3.622075083365253e-03  -2.906522445584011e-03  4.223936363341831e-06  2.589671268714503e-04
2.1800  3.593126164082979e-03  -2.883292478856996e-03  4.156687759316660e-06  2.548441533528019e-04
2.1900  3.564408614915440e-03  -2.860248174330855e-03  4.090509809381493e-06  2.507868210251449e-04
2.2000  3.535920586669940e-03  -2.837388048126888e-03  4.025385467826655e-06  2.467940848257508e-04
2.2100  3.507660244933199e-03  -2.814710628226083e-03  3.961297960324436e-06  2.428649163301651e-04
2.2200  3.479625769953218e-03  -2.792214454374333e-03  3.898230779608476e-06  2.389983034873114e-04
2.2300  3.451815356522112e-03  -2.769898077988402e-03  3.836167681221923e-06  2.351932503588143e-04
2.2400  3.424227213859859e-03  -2.747760062062650e-03  3.775092679333269e-06  2.314487768624712e-04
2.2500  3.396859565498993e-03  -2.725798981076498e-03  3.714990042618839e-06  2.277639185198088e-04
2.2600  3.369710649170210e-03  -2.704013420902639e-03  3.655844290210796e-06  2.241377262076590e-04
2.2700  3.342778716688896e-03  -2.682401978715977e-03  3.597640187709695e-06  2.205692659136890e-04
2.2800  3.316062033842547e-03  -2.660963262903296e-03  3.540362743260478e-06  2.170576184958246e-04
2.2900  3.289558880279112e-03  -2.639695892973650e-03  3.483997203690977e-06  2.136018794455033e-04
2.3000  3.263267549396206e-03  -2.618598499469469e-03  3.428529050711877e-06  2.102011586546960e-04
2.3100  3.237186348231219e-03  -2.597669723878380e-03  3.373943997177190e-06  2.068545801866392e-04
2.3200  3.211313597352306e-03  -2.576908218545726e-03  3.320227983404253e-06  2.035612820502157e-04
2.3300  3.185647630750243e-03  -2.556312646587787e-03  3.267367173552328e-06  2.003204159779293e-04
2.3400  3.160186795731143e-03  -2.535881681805695e-03  3.215347952058841e-06  1.971311472074122e-04
2.3500  3.134929452810043e-03  -2.515614008600041e-03  3.164156920132382e-06  1.939926542664128e-04
